"Calendar year","ABS remoteness area","Age group","Sex","Road user","Hospitalisations"
2012,"Remote","8-16","Male","Motorcyclist",36
2012,"Remote","8-16","Male","Other",5
2012,"Remote","8-16","Male","Pedal cyclist",22
2013,"Major Cities","0-7","Female","Car",81
2013,"Major Cities","0-7","Female","Motorcyclist",1
2013,"Major Cities","0-7","Female","Other",36
2013,"Major Cities","0-7","Female","Pedal cyclist",38
2013,"Major Cities","0-7","Male","Car",99
2013,"Major Cities","0-7","Male","Motorcyclist",14
2013,"Major Cities","0-7","Male","Other",75
2013,"Major Cities","0-7","Male","Pedal cyclist",84
2013,"Major Cities","17-25","Female","Car",1216
2013,"Major Cities","17-25","Female","Motorcyclist",117
2013,"Major Cities","17-25","Female","Other",162
2013,"Major Cities","17-25","Female","Pedal cyclist",108
2013,"Major Cities","17-25","Male","Car",1277
2013,"Major Cities","17-25","Male","Heavy transport vehicle",20
2013,"Major Cities","17-25","Male","Motorcyclist",1111
2013,"Major Cities","17-25","Male","Other",261
2013,"Major Cities","17-25","Male","Pedal cyclist",455
2013,"Major Cities","26-39","Female","Car",1304
2013,"Major Cities","26-39","Female","Motorcyclist",152
2013,"Major Cities","26-39","Female","Other",129
2013,"Major Cities","26-39","Female","Pedal cyclist",274
2013,"Major Cities","26-39","Male","Car",1315
2013,"Major Cities","26-39","Male","Heavy transport vehicle",55
2013,"Major Cities","26-39","Male","Motorcyclist",1376
2013,"Major Cities","26-39","Male","Other",271
2013,"Major Cities","26-39","Male","Pedal cyclist",937
2013,"Major Cities","26-39","intersex or indeterminate or missing","Motorcyclist",1
2013,"Major Cities","40-64","Female","Car",1772
2013,"Major Cities","40-64","Female","Heavy transport vehicle",7
2013,"Major Cities","40-64","Female","Motorcyclist",199
2013,"Major Cities","40-64","Female","Other",266
2013,"Major Cities","40-64","Female","Pedal cyclist",423
2013,"Major Cities","40-64","Male","Car",1327
2013,"Major Cities","40-64","Male","Heavy transport vehicle",119
2013,"Major Cities","40-64","Male","Motorcyclist",1660
2013,"Major Cities","40-64","Male","Other",342
2013,"Major Cities","40-64","Male","Pedal cyclist",1602
